Date,IS_SCHOOL_OUT,IS_HOLIDAY,TOTAL_VISITS,M_TEMPAVERAGE_F,M_PRECIP_INCHES,T_PRCP,T_TAVG,day_of_week_num,Month
2015-12-14,0,0,755,24,0.5,1.05,35.0,0,12
2015-12-17,0,0,735,35,0.1,0.13,34.0,3,12
2015-12-18,0,0,440,31,0.8,0.1,43.0,4,12
2015-12-19,0,0,1330,25,0.3,0.77,41.5,5,12
2015-12-22,1,0,463,31,1.0,0.89,43.0,1,12
2015-12-23,1,0,753,24,0.4,0.2,39.5,2,12
2015-12-24,1,1,885,22,0.5,0.15,37.5,3,12
2015-12-25,1,1,720,21,0.1,0.21,35.0,4,12
2015-12-26,0,0,1931,22,0.0,0.0,32.0,5,12
2015-12-27,0,0,1333,27,0.2,0.0,34.0,6,12
2015-12-28,1,0,1075,25,0.1,0.08,36.0,0,12
2015-12-29,1,0,1329,24,0.2,0.1,36.5,1,12
2015-12-30,1,0,1288,24,0.0,0.1,39.0,2,12
2015-12-31,1,1,1255,18,0.0,0.0,35.0,3,12
2016-01-01,1,1,975,15,0.0,0.0,36.5,4,1
2016-01-02,0,0,1211,21,0.0,0.0,36.0,5,1
2016-01-03,0,0,847,31,0.3,0.0,36.0,6,1
2016-01-04,0,0,363,32,0.1,0.0,41.0,0,1
2016-01-07,0,0,896,27,0.0,0.0,37.5,3,1
2016-01-08,0,0,1148,28,0.2,0.0,35.0,4,1
2016-01-09,0,0,1124,29,0.5,0.03,38.0,5,1
2016-01-10,0,0,1521,29,0.0,0.02,39.0,6,1
2016-01-11,0,0,390,33,0.0,0.0,45.5,0,1
2016-01-14,0,0,816,26,1.1,0.12,39.0,3,1
2016-01-15,0,0,1492,27,0.3,0.24,37.0,4,1
2016-01-16,0,0,913,32,0.9,0.12,39.0,5,1
2016-01-18,1,1,1657,30,0.1,0.59,40.0,0,1
2016-01-21,0,0,691,36,0.4,0.0,41.5,3,1
2016-01-22,1,0,1060,34,1.0,0.3,53.0,4,1
2016-01-23,0,0,1248,31,0.8,0.35,48.5,5,1
2016-01-24,0,0,1223,29,0.2,0.03,43.0,6,1
2016-01-25,0,0,773,31,0.0,0.12,40.5,0,1
2016-01-28,0,0,359,37,0.8,0.0,51.0,3,1
2016-01-29,0,0,641,32,0.6,0.7,47.0,4,1
2016-01-30,0,0,1035,25,0.4,0.22,42.5,5,1
2016-01-31,0,0,1312,20,0.2,0.04,39.0,6,1
2016-02-01,0,0,632,22,0.0,0.02,35.0,0,2
2016-02-04,0,0,1159,31,0.2,0.0,37.0,3,2
2016-02-05,0,0,958,36,0.0,0.0,41.0,4,2
2016-02-06,0,0,1286,39,0.0,0.0,43.0,5,2
2016-02-07,0,0,1172,45,0.0,0.0,44.5,6,2
2016-02-08,0,0,536,47,0.0,0.0,48.0,0,2
2016-02-11,0,0,610,46,0.0,0.0,50.0,3,2
2016-02-12,0,0,688,41,0.0,0.0,49.5,4,2
2016-02-13,0,0,980,37,0.0,0.04,46.5,5,2
2016-02-14,0,0,425,41,0.1,0.05,41.5,6,2
2016-02-15,1,1,679,41,0.0,0.0,47.5,0,2
2016-02-18,0,0,725,29,1.4,0.64,48.5,3,2
2016-02-19,0,0,681,28,1.0,0.02,45.0,4,2
2016-02-20,0,0,2430,27,0.0,0.16,39.0,5,2
2016-02-21,0,0,923,31,0.1,0.0,39.5,6,2
2016-02-22,0,0,578,28,0.0,0.05,38.0,0,2
2016-02-25,0,0,983,44,0.0,0.0,46.5,3,2
2016-02-26,0,0,474,41,0.8,0.0,48.0,4,2
2016-02-27,0,0,805,34,0.1,0.21,48.0,5,2
2016-02-28,0,0,665,36,0.0,0.0,44.5,6,2
2016-02-29,0,0,310,37,0.0,0.0,42.0,0,2
2016-03-02,0,0,275,40,0.4,0.02,48.0,2,3
2016-03-03,0,0,878,37,0.2,0.08,48.5,3,3
2016-03-04,0,0,1001,39,0.1,0.02,50.5,4,3
2016-03-05,0,0,115,37,2.4,0.02,52.0,5,3
2016-03-06,0,0,603,29,0.8,0.45,49.5,6,3
2016-03-07,0,0,435,26,0.1,0.22,45.5,0,3
2016-03-10,0,0,390,34,1.0,0.2,53.0,3,3
2016-03-11,0,0,655,35,0.1,0.17,49.5,4,3
2016-03-12,0,0,541,30,0.9,0.02,51.0,5,3
2016-03-14,0,0,928,26,0.3,0.39,44.5,0,3
2016-03-17,0,0,605,41,0.0,0.0,47.5,3,3
2016-03-18,0,0,440,44,0.0,0.0,49.5,4,3
2016-03-19,0,0,828,43,0.0,0.0,51.5,5,3
2016-03-20,0,0,93,37,1.1,0.05,50.5,6,3
2016-03-21,1,0,233,30,1.1,0.3,51.0,0,3
2016-03-24,1,0,658,36,0.1,0.02,44.0,3,3
2016-03-25,1,0,653,33,0.0,0.0,50.0,4,3
2016-03-26,0,0,383,38,0.1,0.0,44.5,5,3
2016-03-27,0,0,233,30,0.0,0.05,41.5,6,3
2016-03-28,0,0,225,25,0.0,0.02,44.5,0,3
2016-03-31,0,0,265,42,0.0,0.0,49.0,3,3
2016-04-01,0,0,305,46,0.0,0.0,51.5,4,4
2016-04-02,0,0,503,46,0.0,0.0,55.0,5,4
2016-04-03,0,0,1118,45,0.0,0.0,55.5,6,4
2016-04-08,0,0,223,51,0.0,0.0,63.0,4,4
2016-04-09,0,0,388,46,0.0,0.0,61.5,5,4
2016-04-10,0,0,705,44,0.0,0.0,58.0,6,4
2016-04-16,0,0,757,45,0.0,0.0,46.5,5,4
2016-04-17,0,0,738,51,0.0,0.0,54.5,6,4
2016-12-04,0,0,978,33,0.4,0.0,36.5,6,12
2016-12-05,0,0,329,22,0.1,0.5,38.0,0,12
2016-12-08,0,0,228,33,0.3,0.01,32.5,3,12
2016-12-09,0,0,241,36,0.5,0.1,37.0,4,12
2016-12-10,0,0,1260,31,0.5,0.67,46.5,5,12
2016-12-11,0,0,1137,27,0.0,0.03,37.5,6,12
2016-12-12,0,0,342,27,0.0,0.01,37.0,0,12
2016-12-15,0,0,703,32,1.1,1.12,43.5,3,12
2016-12-16,0,0,678,18,0.2,0.04,39.0,4,12
2016-12-17,0,0,1038,15,0.1,0.0,28.0,5,12
2016-12-18,0,0,921,24,0.0,0.0,26.0,6,12
2016-12-19,1,0,608,36,0.0,0.0,30.5,0,12
2016-12-20,1,0,259,36,0.0,0.01,30.5,1,12
2016-12-21,1,0,729,34,0.0,0.08,36.5,2,12
2016-12-22,1,0,563,36,0.1,0.0,35.5,3,12
2016-12-23,1,0,828,27,1.6,0.01,36.0,4,12
2016-12-24,0,1,1380,21,0.0,0.44,38.0,5,12
2016-12-25,0,1,809,17,0.1,0.1,29.5,6,12
2016-12-26,1,0,1381,22,0.0,0.0,29.5,0,12
2016-12-27,1,0,847,31,0.4,0.0,29.0,1,12
2016-12-28,1,0,1174,29,0.0,0.01,34.0,2,12
2016-12-29,1,0,1331,38,0.1,0.0,34.5,3,12
2016-12-30,1,0,1020,30,0.0,0.01,34.0,4,12
2016-12-31,0,1,1380,29,0.0,0.0,34.5,5,12
2017-01-01,0,1,629,20,0.3,0.02,33.0,6,1
2017-01-02,1,0,1340,18,0.5,0.03,31.0,0,1
2017-01-05,0,0,1548,14,0.1,0.47,25.5,3,1
2017-01-06,0,0,845,22,0.0,0.0,21.5,4,1
2017-01-09,0,0,270,26,1.6,0.8,42.0,0,1
2017-01-12,0,0,1153,23,0.2,0.01,37.5,3,1
2017-01-13,0,0,758,24,0.0,0.0,35.0,4,1
2017-01-14,0,0,1553,28,0.0,0.0,32.0,5,1
2017-01-15,0,0,1782,31,0.0,0.0,34.0,6,1
2017-01-16,1,1,1158,37,0.0,0.0,34.5,0,1
2017-01-19,0,0,626,28,1.3,0.55,40.5,3,1
2017-01-21,0,0,1144,28,0.9,0.03,42.0,5,1
2017-01-22,0,0,1171,25,0.9,0.25,42.5,6,1
2017-01-23,0,0,767,23,0.0,0.0,37.0,0,1
2017-01-26,1,0,688,26,0.0,0.05,33.0,3,1
2017-01-27,1,0,880,29,0.0,0.0,36.0,4,1
2017-01-28,0,0,1222,34,0.0,0.0,39.5,5,1
2017-01-29,0,0,1209,37,0.0,0.0,39.0,6,1
2017-01-30,0,0,503,40,0.0,0.0,34.5,0,1
2017-02-03,0,0,372,34,1.0,0.02,50.0,4,2
2017-02-04,0,0,996,33,0.8,0.14,50.5,5,2
2017-02-05,0,0,665,32,0.7,0.0,49.0,6,2
2017-02-06,0,0,618,29,0.5,0.18,49.5,0,2
2017-02-10,0,0,435,29,0.2,0.53,44.0,4,2
2017-02-11,0,0,1239,27,0.0,0.05,43.0,5,2
2017-02-12,0,0,1518,35,0.1,0.0,36.5,6,2
2017-02-13,0,0,577,41,0.0,0.0,39.0,0,2
2017-02-16,0,0,532,32,2.0,0.83,54.0,3,2
2017-02-17,0,0,786,31,0.6,0.14,50.5,4,2
2017-02-18,0,0,1264,31,0.6,0.45,41.0,5,2
2017-02-19,0,0,1257,31,1.1,0.41,42.0,6,2
2017-02-23,0,0,1285,19,0.1,0.4,35.5,3,2
2017-02-24,0,0,698,19,0.2,0.0,33.0,4,2
2017-02-25,0,0,1420,22,0.0,0.07,34.0,5,2
2017-02-26,0,0,1059,21,0.3,0.0,36.0,6,2
2017-02-27,0,0,702,23,0.3,0.1,34.5,0,2
2017-03-02,0,0,655,33,0.0,0.0,38.5,3,3
2017-03-03,0,0,581,33,0.1,0.0,42.0,4,3
2017-03-04,0,0,562,29,0.4,0.0,42.5,5,3
2017-03-05,0,0,1200,19,0.2,0.14,40.0,6,3
2017-03-06,0,0,613,24,0.2,0.01,36.0,0,3
2017-03-09,0,0,220,42,0.0,0.1,48.0,3,3
2017-03-10,0,0,526,41,0.0,0.01,50.0,4,3
2017-03-11,0,0,1039,41,0.0,0.0,50.0,5,3
2017-03-12,0,0,1163,41,0.0,0.0,48.5,6,3
2017-03-13,0,0,398,43,0.0,0.0,50.0,0,3
2017-03-16,0,0,207,37,0.0,0.05,53.5,3,3
2017-03-17,0,0,281,43,0.3,0.0,44.5,4,3
2017-03-18,0,0,305,39,1.4,0.01,48.5,5,3
2017-03-19,0,0,315,40,0.3,0.3,55.0,6,3
2017-03-20,0,0,88,39,0.1,0.03,55.0,0,3
2017-03-23,0,0,465,31,0.2,0.1,42.5,3,3
2017-03-24,0,0,270,31,1.5,0.0,46.0,4,3
2017-03-25,0,0,1125,32,0.1,0.08,43.5,5,3
2017-03-26,0,0,385,32,0.2,0.0,46.0,6,3
2017-03-27,1,0,569,30,0.2,0.15,44.0,0,3
2017-03-30,1,0,308,28,0.1,0.15,44.0,3,3
2017-03-31,1,0,744,32,0.0,0.09,41.5,4,3
2017-04-01,0,0,635,42,0.0,0.0,47.0,5,4
2017-04-02,0,0,765,35,0.0,0.0,52.0,6,4
2017-04-07,0,0,178,29,1.0,0.4,53.0,4,4
2017-04-08,0,0,840,26,0.2,0.0,45.5,5,4
2017-04-09,0,0,926,29,0.2,0.02,40.0,6,4
2017-04-15,0,0,1415,34,0.1,0.0,46.5,5,4
2017-04-16,0,0,689,37,0.2,0.0,45.0,6,4
2018-01-26,1,0,778,24,0.1,0.03,38.5,4,1
2018-01-27,0,0,1167,36,0.2,0.01,38.0,5,1
2018-01-28,0,0,1079,39,0.0,0.0,39.5,6,1
2018-01-29,0,0,338,45,0.0,0.0,45.0,0,1
2018-02-01,0,0,170,42,0.0,0.01,39.5,3,2
2018-02-02,0,0,453,42,0.0,0.0,46.5,4,2
2018-02-03,0,0,480,43,0.0,0.0,49.0,5,2
2018-02-04,0,0,263,43,0.0,0.0,48.0,6,2
2018-02-23,0,0,1045,18,0.0,0.26,33.0,4,2
2018-02-24,0,0,1118,25,0.3,0.0,33.0,5,2
2018-02-25,0,0,1520,27,0.4,0.05,38.0,6,2
2018-02-26,0,0,935,20,0.4,0.01,40.0,0,2
2018-03-01,0,0,1125,25,1.5,0.12,38.5,3,3
2018-03-02,0,0,1148,20,0.1,0.12,38.5,4,3
2018-03-03,0,0,1455,22,0.0,0.0,38.5,5,3
2018-03-04,0,0,1957,24,0.0,0.0,39.5,6,3
2018-03-05,0,0,882,27,0.1,0.0,35.0,0,3
2018-03-08,0,0,388,34,0.2,0.0,52.5,3,3
2018-03-09,0,0,898,34,0.5,0.27,53.5,4,3
2018-03-10,0,0,1369,35,0.1,0.39,46.5,5,3
2018-03-11,0,0,1100,38,0.0,0.01,42.5,6,3
2018-03-12,1,0,495,41,0.0,0.0,48.0,0,3
2018-03-15,0,0,565,24,0.4,0.05,41.0,3,3
2018-03-16,0,0,770,24,0.6,0.03,41.0,4,3
2018-03-17,0,0,1145,26,0.0,0.09,40.5,5,3
2018-03-18,0,0,1600,28,0.0,0.06,38.0,6,3
2018-03-19,0,0,595,31,0.0,0.0,39.5,0,3
2018-03-22,0,0,281,28,0.3,0.18,50.5,3,3
2018-03-23,0,0,210,25,1.0,0.16,39.0,4,3
2018-03-24,0,0,2005,22,0.2,0.08,39.5,5,3
2018-03-25,0,0,1410,25,0.0,0.0,38.0,6,3
2018-03-26,1,0,1200,28,0.0,0.0,39.0,0,3
2018-03-27,1,0,630,36,0.0,0.0,41.0,1,3
2018-03-28,1,0,465,40,0.0,0.0,46.5,2,3
2018-03-29,1,0,558,43,0.0,0.0,48.5,3,3
2018-03-30,0,0,670,45,0.0,0.0,50.0,4,3
2018-03-31,0,0,626,42,0.0,0.0,50.5,5,3
2018-04-01,0,0,576,38,0.0,0.0,51.5,6,4
2018-04-02,0,0,330,29,0.1,0.1,47.0,0,4
2018-04-13,0,0,235,34,0.0,0.0,41.0,4,4
2018-04-14,0,0,335,40,0.0,0.0,46.5,5,4
2018-04-15,0,0,210,31,0.8,0.0,48.5,6,4
2018-04-20,0,0,306,41,0.0,0.0,47.0,4,4
2018-04-21,0,0,193,40,0.0,0.0,51.0,5,4
2018-04-22,0,0,508,40,0.0,0.0,50.0,6,4
2018-12-07,0,0,715,32,0.2,0.0,37.5,4,12
2018-12-08,0,0,1218,34,0.0,0.0,36.0,5,12
2018-12-09,0,0,670,35,0.1,0.0,43.5,6,12
2018-12-10,0,0,190,30,0.0,0.09,49.5,0,12
2018-12-13,0,0,205,37,0.1,0.0,38.5,3,12
2018-12-15,0,0,1548,32,0.2,0.2,43.5,5,12
2018-12-17,0,0,405,31,0.0,0.23,46.5,0,12
2018-12-21,0,0,885,25,0.0,0.62,45.0,4,12
2018-12-22,0,0,1300,31,0.1,0.0,35.0,5,12
2018-12-23,0,0,1297,34,0.1,0.0,32.5,6,12
2018-12-24,1,1,1155,32,0.7,0.0,41.0,0,12
2018-12-25,1,1,1601,27,0.2,0.68,42.5,1,12
