Date,IS_HOLIDAY,SCHOOL_OUT,DAY_VISITS,NIGHT_VISITS,TOTAL_VISITS,M_PRCP,M_SNWD,M_TAVG,M_TMAX,M_TMIN,T_AWND,T_PRCP,T_SNOW,T_TAVG,T_TMAX,T_TMIN
11/21/2015,0,0,42,572,588,0,12,36,50,30,4.92,0,0,44,51,32
11/27/2015,0,1,1083,750,1196,0,11,35,37,31,6.26,0,0,36,50,25
11/28/2015,0,0,1513,1041,1668,0,11,38,42,31,9.17,0,0,38,47,31
11/29/2015,0,0,1238,707,1328,0,11,39,44,30,12.3,0,0,36,41,29
12/4/2015,0,0,618,227,648,0.9,18,30,31,28,9.84,0.26,0,47,50,43
12/5/2015,0,0,2115,1300,2236,0,18,32,36,28,17,0.39,0,45,47,43
12/6/2015,0,0,2429,1082,2529,0.9,23,34,35,33,13.2,0.75,0,49,57,44
12/11/2015,0,0,1710,648,1764,0.8,28,29,31,27,10.51,0.72,0,45,46,43
12/12/2015,0,0,3446,2675,4316,1.7,35,30,34,28,10.29,0.72,0,44,50,43
12/13/2015,0,0,5277,2733,5459,2.2,50,27,30,25,10.07,0.63,0,46,49,42
12/14/2015,0,0,2022,958,2063,0.5,49,24,29,20,3.8,0.02,0,42,44,35
12/15/2015,0,0,1866,960,1914,0,46,25,29,19,3.58,0.12,0,39,42,35
12/16/2015,0,0,1164,672,1205,0.5,47,29,31,28,6.04,0.1,0,42,45,41
12/17/2015,0,0,1592,152,1606,3,50,33,37,28,17,1.87,0,41,55,38
12/18/2015,0,0,1228,1319,1923,0.4,49,30,37,26,10.07,0.23,0,48,54,42
12/19/2015,0,0,4241,3976,5589,0.3,48,27,29,25,7.61,0.15,0,44,49,40
12/20/2015,0,0,3908,3203,4864,0.7,54,27,30,26,9.62,0.35,0,44,49,41
12/21/2015,0,1,2340,212,2383,2.5,64,28,33,26,15.21,0.8,0,45,52,40
12/22/2015,0,1,3573,2177,3690,1.3,69,25,28,23,4.92,0.2,0,44,46,37
12/23/2015,0,1,3301,2963,4469,2.6,85,23,24,22,12.75,0.59,0,41,43,37
12/24/2015,1,1,3811,1617,3900,0.3,83,23,27,20,3.8,0.06,0,40,42,37
12/25/2015,1,1,3323,2952,4181,0,80,21,27,15,3.8,0.01,0,39,43,35
12/26/2015,0,0,4271,4675,6217,0.2,80,20,28,14,7.61,0,0,38,41,34
12/27/2015,0,0,4743,4103,6042,0.4,81,27,31,23,11.41,0.27,0.1,38,41,34
12/28/2015,0,1,5190,4312,6070,0,80,26,29,23,3.13,0.03,0,36,40,35
12/29/2015,0,1,4737,3934,5525,0,80,24,27,22,8.5,0.24,0,38,39,32
12/30/2015,0,1,5506,5606,7375,0,78,19,23,16,10.29,0,0,36,44,29
12/31/2015,1,1,4503,4511,6331,0,76,20,24,15,20.58,0,0,36,39,33
1/1/2016,1,1,4295,4596,5932,0,75,26,31,21,25.28,0,0,34,37,31
1/2/2016,0,0,5082,4863,6787,0,75,19,25,14,24.16,0,0,32,36,28
1/3/2016,0,0,2950,2226,3563,0.4,74,23,34,13,11.63,0.31,1.3,29,32,28
1/4/2016,0,0,858,588,893,0,74,33,36,30,4.03,0.01,0,32,36,31
1/5/2016,0,0,946,507,973,0.3,74,32,34,30,7.16,0.17,0,35,40,31
1/6/2016,0,0,1340,1821,2409,0,73,30,33,29,5.14,0,0,37,43,30
1/7/2016,0,0,1394,1691,2272,0.1,74,30,33,27,2.01,0,0,40,47,34
1/8/2016,0,0,2050,2177,3027,0.1,73,29,33,25,3.58,0,0,38,47,29
1/9/2016,0,0,5706,5378,7436,0.1,73,29,34,26,10.51,0.03,0,40,46,33
1/10/2016,0,0,6189,4918,7140,0,73,29,33,25,10.51,0,0,40,50,29
1/11/2016,0,0,883,561,958,0.3,73,31,35,24,12.08,0.2,0,41,42,38
1/12/2016,0,0,693,370,719,0.5,74,34,36,31,14.32,0.84,0,40,43,39
1/13/2016,0,0,1032,1753,2069,0.7,76,32,36,26,8.05,0.86,0,43,49,41
1/14/2016,0,0,1583,1908,2690,0.9,84,28,30,26,8.05,0.29,0,44,46,40
1/15/2016,0,0,3333,2717,4540,0.4,82,30,32,27,11.41,0.1,0,42,47,39
1/16/2016,0,0,4567,4180,6279,0.5,82,33,36,29,13.42,0.52,0,45,52,42
1/17/2016,0,0,4578,4278,6018,0.8,85,32,34,30,13.42,0.87,0,45,47,42
1/18/2016,1,1,5376,5473,7595,0.2,85,31,33,30,11.18,0.25,0,44,51,40
1/19/2016,0,0,1199,570,1239,1.4,95,31,33,28,10.51,0.64,0,45,48,42
1/20/2016,0,0,2928,2485,4069,0.5,95,29,35,27,10.96,0.15,0,46,50,42
1/21/2016,0,0,286,589,718,0,90,39,44,34,15.66,0.25,0,47,52,45
1/22/2016,0,0,1036,1533,1916,0.3,88,36,38,34,9.17,0.3,0,50,59,44
1/23/2016,0,0,5922,5580,7947,0.9,94,32,37,30,5.59,0.21,0,48,52,44
1/24/2016,0,0,5880,4600,6876,0.4,93,29,33,28,3.8,0,0,46,50,38
1/25/2016,0,0,2314,1409,2361,0,91,32,36,30,8.72,0,0,46,56,42
1/26/2016,0,0,293,101,307,0.2,87,40,42,35,9.62,0.08,0,47,49,44
1/27/2016,0,0,1139,1372,1786,0,84,42,46,40,14.54,0.03,0,49,54,47
1/28/2016,0,0,166,574,644,1.3,82,36,43,29,10.74,0.56,0,51,59,45
1/29/2016,0,0,1902,2293,3035,1,88,29,34,26,10.74,0.28,0,48,53,41
1/30/2016,0,0,6469,5985,8293,0.8,95,25,28,23,6.71,0.15,0,44,47,39
1/31/2016,0,0,6059,4832,7182,0.5,94,23,28,21,3.13,0.13,0,41,44,39
2/1/2016,0,0,1710,932,1752,0,94,24,27,21,6.26,0.05,0,41,47,38
2/2/2016,0,0,1400,757,1437,0.1,92,24,31,18,8.05,0,0,41,49,32
2/3/2016,0,0,1479,2192,2674,0.7,97,29,32,26,14.76,0.26,0,44,49,41
2/4/2016,0,0,1892,1601,2909,2.5,106,31,33,29,9.4,0.4,0,48,56,44
2/5/2016,0,0,1666,1704,2506,0.2,105,32,37,29,8.72,0.12,0,47,58,40
2/6/2016,0,0,5665,5584,7392,0,103,30,35,24,3.8,0,0,48,52,41
2/7/2016,0,0,5408,3465,6029,0,101,40,47,34,1.79,0,0,48,62,44
2/8/2016,0,0,1311,649,1349,0,97,50,59,44,4.03,0,0,49,62,37
2/9/2016,0,0,1016,453,1045,0,95,48,58,42,8.95,0,0,52,60,43
2/10/2016,0,0,1290,1602,2074,0,93,44,48,38,6.71,0,0,50,62,42
2/11/2016,0,0,438,614,868,0.4,90,43,46,40,7.38,0.13,0,52,58,46
2/12/2016,0,0,755,993,1372,0.5,90,37,42,31,10.74,0.27,0,51,56,47
2/13/2016,0,0,5187,4451,6636,1.2,96,31,34,29,8.72,0.26,0,49,53,45
2/14/2016,0,0,639,335,809,2.4,90,38,42,34,8.05,0.19,0,51,58,50
2/15/2016,1,1,2035,1975,2708,0,88,38,43,35,7.38,0,0,56,61,50
2/16/2016,0,0,612,414,642,0.1,86,38,44,36,4.47,0.35,0,53,56,47
2/17/2016,0,0,595,987,1139,0.4,88,40,46,29,8.95,0.35,0,51,63,46
2/18/2016,0,0,1115,1571,2039,0.9,95,30,31,27,10.07,0.42,0,47,50,42
2/19/2016,0,0,2725,2364,3849,0.9,103,30,33,26,14.32,0.24,0,48,52,43
2/20/2016,0,0,6559,5855,8370,0.2,101,28,31,24,4.7,0.05,0,44,53,39
2/21/2016,0,0,4774,3363,5550,0.3,102,30,36,27,6.49,0.1,0,44,53,35
2/22/2016,0,0,1476,877,1520,0.1,101,28,34,22,2.91,0,0,43,54,36
2/23/2016,0,0,1297,797,1354,0,100,32,38,26,12.3,0,0,44,59,33
2/24/2016,0,0,979,1175,1609,0,98,39,47,34,6.71,0,0,51,62,42
2/25/2016,0,0,1303,1372,1995,0,96,43,52,36,4.7,0,0,49,64,37
2/26/2016,0,0,1370,1123,1756,0.4,94,42,49,36,5.14,0.38,0,53,60,43
2/27/2016,0,0,3629,2872,4435,0.9,94,34,37,32,9.84,0.13,0,53,59,48
2/28/2016,0,0,3360,2139,4031,0.4,96,32,37,27,13.2,0.08,0,51,57,47
2/29/2016,0,0,1161,605,1197,0.6,99,30,34,25,8.05,0.32,0,49,52,45
3/1/2016,0,0,170,41,175,0.3,96,34,39,28,16.78,0.31,0,49,59,46
3/2/2016,0,0,610,558,876,0,95,35,44,27,9.4,0.36,0,50,57,44
3/3/2016,0,0,635,676,924,0.3,95,35,42,31,8.28,0.05,0,52,62,46
3/4/2016,0,0,1260,1199,1680,0,94,40,45,34,7.83,0,0,51,59,42
3/5/2016,0,0,2045,1602,2413,0.5,91,39,42,36,11.18,0.33,0,54,61,49
3/6/2016,0,0,3320,2824,4100,0.6,95,31,37,29,11.86,0.25,0,53,55,47
3/7/2016,0,0,1156,555,1177,0.3,97,28,33,26,9.62,0.04,0,48,54,43
3/8/2016,0,0,983,516,1012,0.4,100,28,31,23,8.28,0.11,0,45,47,38
3/9/2016,0,0,1253,422,1284,0.8,101,34,39,30,15.21,0.6,0,45,51,44
3/10/2016,0,0,1242,671,1273,0.3,99,33,38,29,11.41,0.24,0,51,57,44
3/11/2016,0,0,1846,1402,2364,0.1,98,36,39,32,8.28,0.16,0,46,54,40
3/12/2016,0,0,4507,3347,5486,0.5,100,30,36,26,12.3,0.34,0,48,51,44
3/13/2016,0,0,3748,2122,4392,1.6,113,29,34,26,13.87,0.55,0,46,53,43
3/14/2016,0,0,2357,968,2408,2.1,125,26,28,24,11.41,0.34,0,45,51,42
3/15/2016,0,0,2591,972,2631,1.6,132,28,32,25,5.37,0.25,0,45,48,42
3/16/2016,0,0,2162,1060,2213,0.3,127,32,36,25,4.47,0.06,0,47,57,41
3/17/2016,0,0,1925,1081,1990,0,124,29,35,23,12.97,0,0,47,61,33
3/18/2016,0,0,1901,1777,2505,0,122,34,42,27,20.58,0,0,53,61,47
3/19/2016,0,0,4254,3235,5010,0,118,42,48,37,8.05,0,0,55,67,46
3/20/2016,0,0,1351,960,1617,0.4,112,39,45,33,9.62,0.23,0,55,57,49
3/21/2016,0,1,1747,1194,1785,0.3,113,32,37,29,9.84,0.14,0,51,54,46
3/22/2016,0,1,2276,1337,2325,0.8,117,30,34,28,6.71,0.11,0,48,56,45
3/23/2016,0,1,2316,1613,2371,0.4,118,32,36,28,10.51,0.09,0,50,54,46
3/24/2016,0,1,1907,1066,1959,0.5,120,29,34,26,9.84,0.03,0,50,57,45
3/25/2016,0,1,3254,2132,3341,0.5,120,29,34,26,2.91,0.01,0,49,57,42
3/26/2016,0,0,4289,2725,4444,0.1,119,33,41,27,6.93,0.05,0,49,59,41
3/27/2016,0,0,2125,1221,2187,1.5,130,28,34,24,9.4,0.08,0,51,54,42
3/28/2016,0,0,1731,674,1748,0,127,29,35,23,4.92,0,0,46,58,38
3/29/2016,0,0,1187,622,1214,0,123,36,41,30,5.59,0,0,47,65,35
3/30/2016,0,0,1007,507,1035,0,121,42,53,32,4.7,0,0,54,74,39
3/31/2016,0,0,1026,300,1046,0,118,45,55,38,3.8,0,0,58,75,44
4/1/2016,0,0,1429,465,1472,0,116,48,58,42,4.03,0,0,59,76,46
4/2/2016,0,0,3281,1531,3353,0,114,45,52,39,3.8,0,0,58,70,46
4/3/2016,0,0,2758,1114,2826,0,112,44,55,33,7.16,0.06,0,58,73,44
4/4/2016,0,0,506,329,524,1,120,31,33,28,8.5,0.05,0,56,61,47
4/5/2016,0,0,1141,411,1166,0,117,34,42,28,2.91,0,0,52,61,46
4/6/2016,0,0,804,252,816,0,114,52,63,39,4.03,0,0,53,74,39
4/7/2016,0,0,677,198,686,0,109,59,64,53,7.61,0,0,63,85,47
4/8/2016,0,0,1248,376,1270,0,106,57,67,48,6.71,0,0,67,83,51
4/9/2016,0,0,2320,898,2384,0,104,52,61,41,3.36,0,0,60,68,50
4/10/2016,0,0,2433,774,2475,0,103,44,52,38,4.03,0,0,55,61,50
4/11/2016,0,0,528,177,544,0,102,44,52,36,5.14,0,0,54,62,51
4/12/2016,0,0,264,124,270,0.5,104,34,38,31,8.28,0.19,0,56,60,48
4/13/2016,0,0,380,134,383,0.6,106,33,40,29,9.4,0.18,0,51,59,46
4/14/2016,0,0,935,345,957,0.8,112,30,36,27,9.17,0.66,0,50,54,46
4/15/2016,0,0,1776,416,1808,0,110,32,37,27,2.91,0,0,51,61,42
4/16/2016,0,0,2901,920,2952,0,108,41,53,30,3.13,0,0,53,71,40
4/17/2016,0,0,2745,827,2787,0,102,52,58,43,10.51,0,0,62,81,47
4/22/2016,0,0,253,80,264,0.2,90,39,45,35,6.93,0.41,0,60,65,52
4/23/2016,0,0,825,234,847,0.7,89,36,40,33,7.83,0.05,0,57,62,52
4/24/2016,0,0,2087,738,2110,0.7,94,31,36,28,7.38,0.05,0,54,57,43
4/29/2016,0,0,479,173,487,0,90,34,36,33,5.14,0.08,0,55,60,49
4/30/2016,0,0,2400,717,2451,0,88,41,52,30,4.7,0,0,53,70,42
5/1/2016,0,0,1108,210,1124,0,84,48,54,42,8.5,0,0,62,82,46
5/2/2016,0,0,118,0,118,0,80,54,62,48,4.92,0,0,70,88,53
5/7/2016,0,0,856,7,859,0,64,54,63,45,7.61,0,0,71,86,55
5/8/2016,0,0,673,28,674,0.4,61,40,51,30,12.75,0,0,62,66,53
5/14/2016,0,0,920,2,920,0.2,44,44,55,38,3.8,0.1,0,63,59,54
11/25/2016,0,1,1046,539,1130,0.3,13,33,37,32,9.4,0.33,0,48,51,46
11/26/2016,0,0,1680,1007,1787,0.2,14,33,36,27,8.5,0.46,0,51,56,44
11/27/2016,0,0,1840,786,1916,1.1,20,29,32,27,9.62,0.23,0,46,49,44
11/28/2016,0,0,895,316,938,1.8,30,29,31,27,5.82,0.07,0,47,53,43
11/29/2016,0,0,1107,341,1149,0.4,29,29,34,27,6.04,0.1,0,47,52,43
11/30/2016,0,0,973,384,1013,1.4,38,29,31,26,7.38,0.12,0,47,51,42
12/1/2016,0,0,1200,391,1235,0.6,40,27,30,25,4.92,0.02,0,44,47,39
12/2/2016,0,0,1511,600,1537,0.4,38,31,34,25,5.82,0.08,0,45,48,44
12/3/2016,0,0,4067,2243,4223,0.7,40,30,33,28,5.59,0.14,0,47,52,42
12/4/2016,0,0,4531,2770,4729,1.9,54,25,30,20,6.26,0.54,0,47,48,34
12/5/2016,0,0,1908,770,1957,0.7,58,21,23,19,6.93,0.25,0,39,39,35
12/6/2016,0,0,2014,766,2053,0,56,18,25,11,3.8,0,0,39,45,29
12/7/2016,0,0,1241,652,1293,0,53,14,18,12,14.99,0,0,34,40,27
12/8/2016,0,0,1388,765,1455,0.5,53,20,30,16,26.17,0.15,0.5,33,34,30
12/9/2016,0,0,2792,1972,3563,0.9,56,31,32,30,12.75,0.7,0,32,33,32
12/10/2016,0,0,5539,4284,6828,1.1,66,27,30,25,8.28,0.24,0,33,44,32
12/11/2016,0,0,5106,2314,5258,2.1,80,26,27,24,7.16,0.41,0,43,47,41
12/12/2016,0,0,2411,977,2447,0.8,79,25,29,18,4.47,0.02,0,43,47,38
12/13/2016,0,0,2004,937,2053,0,75,22,26,19,7.61,0,0,40,41,34
12/14/2016,0,0,1050,560,1083,0.5,77,24,27,21,23.04,0.05,2.3,34,35,27
12/15/2016,0,0,2599,1100,2660,0,75,24,28,19,4.7,0.01,0,30,33,25
12/16/2016,0,0,2730,2281,3485,0,72,16,21,8,4.92,0,0,30,38,25
12/17/2016,0,0,4581,3772,5746,0,71,17,20,8,5.82,0,0,31,35,27
12/18/2016,0,0,4643,3422,5518,0,69,23,31,16,4.92,0,0,32,38,27
12/19/2016,0,1,1920,743,1966,1.3,73,33,34,31,9.4,0.84,0,35,48,30
12/20/2016,0,1,1213,746,1259,1.1,70,30,36,23,7.83,0.47,0,47,52,35
12/21/2016,0,1,4038,3623,4868,0.4,68,30,37,22,2.91,0,0,37,38,30
12/22/2016,0,1,2320,1859,2868,0,67,34,38,29,2.91,0.02,0,33,46,30
12/23/2016,0,1,4256,3299,5195,0.4,69,27,31,22,6.04,0.19,0,40,45,32
12/24/2016,1,0,2848,1216,2926,0.4,71,22,24,20,2.24,0,0,35,41,27
12/25/2016,1,0,2802,2462,3567,0,69,21,27,18,4.25,0,0,38,44,32
12/26/2016,0,1,4646,3954,5779,0.6,72,24,29,19,6.04,0.21,0,34,40,27
12/27/2016,0,1,4032,2712,4771,2.8,85,27,31,23,6.26,0.11,0,41,47,36
12/28/2016,0,1,6300,5364,7913,0,84,25,28,21,3.58,0,0,39,42,35
12/29/2016,0,1,6122,5120,7490,0,81,31,34,27,5.59,0.06,0,38,42,33
12/30/2016,0,1,5609,5006,7056,0,80,25,32,19,2.24,0.01,0,40,44,31
12/31/2016,1,0,4341,4072,6074,0.1,81,24,32,20,5.37,0.09,0,35,37,32
1/1/2017,1,0,3604,3537,4956,1.1,91,20,22,16,7.83,0.05,0,36,40,32
1/2/2017,0,0,5743,3259,5929,0,88,14,16,11,19.46,0,0,34,35,29
1/3/2017,0,0,1402,913,1465,0,83,12,15,10,23.04,0,0,31,34,27
1/4/2017,0,0,338,275,465,0,72,14,18,9,21.25,0,0,29,33,27
1/5/2017,0,0,1214,1395,1795,0,72,21,25,16,7.16,0,0,27,35,17
1/6/2017,0,0,2156,2169,3026,0,71,24,31,13,12.75,0,0,25,34,17
1/7/2017,0,0,3337,2522,4251,0.3,72,21,34,13,17.67,0.02,0.4,27,30,24
1/8/2017,0,0,3052,2191,3703,0.7,76,31,34,27,15.21,0.53,0,30,34,28
1/9/2017,0,0,1716,1001,1819,0.6,80,25,27,24,9.84,0.28,0,33,41,30
1/10/2017,0,0,1859,912,1914,1,88,26,29,18,13.42,0.65,6.5,36,38,31
1/11/2017,0,0,3239,2387,3992,0,87,20,23,15,12.3,0.07,1.5,31,32,26
1/12/2017,0,0,3007,2815,3930,0,85,20,26,13,4.92,0,0,28,33,18
1/13/2017,0,0,2705,2536,3641,0,84,26,30,22,6.71,0,0,22,29,11
1/14/2017,0,0,6673,6135,8193,0,82,27,30,23,14.32,0,0,24,29,19
1/15/2017,0,0,7002,6011,8440,0,81,32,42,22,10.96,0,0,24,28,19
1/16/2017,1,1,3320,3421,4805,0,80,40,46,33,14.32,0,0,24,29,22
1/17/2017,0,0,207,96,216,0.6,76,40,45,37,18.12,0.7,0,27,34,24
1/18/2017,0,0,81,401,421,0.5,75,36,40,31,14.99,1.06,0,34,47,33
1/19/2017,0,0,692,1055,1302,0.2,76,30,33,27,11.86,0,0,41,52,35
1/20/2017,0,0,1570,1766,2422,0.3,79,28,30,27,11.41,0.26,0,40,42,37
1/21/2017,0,0,6127,5430,7693,0.3,80,29,32,27,11.63,0.33,0,39,47,36
1/22/2017,0,0,5736,4477,6671,0.3,81,27,29,23,9.84,0.15,0,41,46,36
1/23/2017,0,0,1663,828,1705,0.1,81,26,32,21,5.82,0,0,40,50,32
1/24/2017,0,0,1443,791,1475,0.1,81,24,29,20,2.68,0,0,35,41,26
1/25/2017,0,0,1743,1936,2563,0.5,84,27,29,26,2.68,0.01,0,37,45,35
1/26/2017,0,0,1461,1735,2424,0,82,28,34,25,4.25,0,0,41,48,35
1/27/2017,0,0,2550,2488,3531,0,82,31,37,25,6.71,0,0,38,48,29
1/28/2017,0,0,6508,5419,7854,0,81,38,43,32,8.05,0,0,38,44,31
1/29/2017,0,0,5910,4084,6566,0,80,39,43,34,7.61,0.01,0,38,46,33
1/30/2017,0,0,1211,742,1294,0,79,38,42,35,4.03,0,0,39,44,35
1/31/2017,0,0,832,410,865,0,79,26,35,19,7.83,0.01,0,39,41,33
2/1/2017,0,0,1166,1188,1655,0.4,78,17,21,15,27.96,0,0,37,41,35
2/2/2017,0,0,799,995,1353,0,77,20,25,16,29.53,0,0,36,39,32
2/3/2017,0,0,1755,2088,2718,0.8,83,30,34,24,14.54,0.55,0,33,34,31
2/4/2017,0,0,5956,4532,7384,0.8,88,33,34,31,13.65,0.59,0,36,52,33
2/5/2017,0,0,5812,3185,6464,1.3,94,32,35,29,5.59,2.19,0,42,46,34
2/6/2017,0,0,1825,791,1890,1.3,105,23,32,20,8.05,0.04,0,37,44,33
2/7/2017,0,0,2127,938,2182,0.3,104,26,29,21,6.04,0.08,0,37,39,32
2/8/2017,0,0,1908,824,2384,1,101,35,41,28,12.53,1.01,0,36,37,35
2/9/2017,0,0,101,179,242,0.7,95,38,41,30,14.76,0.96,0,41,59,37
2/10/2017,0,0,1356,1634,2237,0.8,100,27,30,24,9.62,0.09,0,49,51,36
2/11/2017,0,0,6056,5547,7584,0.1,98,25,32,22,1.57,0,0,43,53,35
2/12/2017,0,0,6068,4395,6805,0,97,33,39,26,3.36,0,0,39,51,31
2/13/2017,0,0,1550,886,1584,0,96,41,45,34,10.07,0,0,40,53,29
2/14/2017,0,0,1208,576,1231,0,94,43,49,37,10.74,0.01,0,42,50,33
2/15/2017,0,0,99,148,209,0.8,89,42,46,39,17.22,0.98,0,42,43,38
2/16/2017,0,0,573,1050,1308,1.3,94,33,39,29,10.07,1.7,0,43,49,41
2/17/2017,0,0,2348,2193,3245,0,94,33,35,30,3.58,0,0,46,57,40
2/18/2017,0,0,5897,4876,7127,0.5,96,31,33,28,6.04,0.25,0,46,46,40
2/19/2017,0,0,6502,5365,7778,0.5,99,29,33,26,10.51,0.27,0,44,51,40
2/20/2017,1,1,3815,2347,4647,0.5,102,31,34,29,6.49,0.81,0,43,50,40
2/21/2017,0,0,1850,826,1889,1,110,28,32,22,3.8,0.52,0,44,48,36
2/22/2017,0,0,2434,2108,3160,0.2,107,22,29,19,2.46,0,0,38,45,31
2/23/2017,0,0,1685,1652,2336,0,106,21,28,17,3.58,0,0,38,44,32
2/24/2017,0,0,2012,2104,2946,0.3,107,21,27,17,6.04,0.07,0,37,41,32
2/25/2017,0,0,6244,5082,7518,0,105,22,27,16,2.91,0.05,0,37,48,31
2/26/2017,0,0,5081,3821,5921,0.4,109,22,27,20,8.72,0.14,0,41,43,35
2/27/2017,0,0,1450,689,1486,1.6,120,22,24,19,7.61,0.03,0,38,45,36
2/28/2017,0,0,1691,698,1723,1.3,124,24,27,21,5.37,0.02,0,41,50,36
3/1/2017,0,0,2272,1937,2937,0,122,28,33,25,9.62,0,0,45,51,40
3/2/2017,0,0,1883,1716,2494,0,120,29,36,24,8.72,0.06,0,44,51,36
3/3/2017,0,0,2093,1704,2752,0.7,123,31,34,26,12.75,0.11,0,48,53,43
3/4/2017,0,0,5609,4357,6813,0.2,123,25,29,22,7.61,0.14,0,43,47,35
3/5/2017,0,0,6127,4220,7047,0.4,125,21,27,17,14.32,0.09,0,41,47,36
3/6/2017,0,0,1867,750,1910,1.6,138,21,23,19,11.18,0.11,0,38,46,34
3/7/2017,0,0,1742,619,1769,1.9,148,29,34,23,11.41,0.49,0,41,50,40
3/8/2017,0,0,2058,599,2090,1.5,152,32,34,28,2.91,0.43,0,45,47,41
3/9/2017,0,0,381,114,389,1.5,142,37,41,34,7.38,0.53,0,43,58,41
3/10/2017,0,0,1653,1667,2310,0,137,36,40,33,8.5,0,0,55,60,44
3/11/2017,0,0,2886,1376,3443,0.6,136,36,41,33,8.05,0.3,0,47,58,39
3/12/2017,0,0,4108,3071,4687,0,134,36,44,32,6.49,0,0,52,61,46
3/13/2017,0,0,416,112,425,0.5,129,41,43,38,8.72,0.73,0,51,53,47
3/14/2017,0,0,189,85,197,0.4,125,40,43,37,10.74,0.62,0,52,57,49
3/15/2017,0,0,231,55,237,1.1,124,36,40,29,12.75,0.51,0,53,57,45
3/16/2017,0,0,1555,948,1633,0.1,122,28,34,24,3.8,0,0,47,55,37
3/17/2017,0,0,898,466,1057,0.4,121,36,42,29,8.28,0.35,0,44,48,37
3/18/2017,0,0,1277,1251,1921,0.7,120,34,42,24,8.28,0.36,0,48,55,36
3/19/2017,0,0,5702,4088,6441,0,119,30,38,20,4.03,0,0,42,57,32
3/20/2017,0,0,805,431,837,0,117,36,40,32,11.41,0.11,0,48,55,38
3/21/2017,0,0,358,216,366,0.4,117,36,40,34,12.75,0.23,0,47,57,44
3/22/2017,0,0,672,407,698,0.5,119,32,35,26,10.29,0.08,0,49,55,42
3/23/2017,0,0,1519,816,1551,0.3,121,31,40,24,8.95,0.32,0,48,58,41
3/24/2017,0,0,1672,705,1718,0.8,125,33,35,30,10.74,0.77,0,49,53,46
3/25/2017,0,0,4600,2384,4742,0.3,125,30,36,27,6.49,0,0,48,55,41
3/26/2017,0,0,3794,1906,3899,1.1,133,32,34,29,9.17,0.66,0,46,50,44
3/27/2017,0,1,3036,1554,3112,0.7,136,30,34,28,9.84,0.01,0,48,55,45
3/28/2017,0,1,2481,1602,2517,0.3,134,32,36,28,9.17,0.06,0,50,59,46
3/29/2017,0,1,473,165,498,1.2,132,36,40,30,10.51,0.19,0,52,58,46
3/30/2017,0,1,1742,1154,1799,0.7,134,29,35,26,8.95,0,0,49,57,43
3/31/2017,0,1,4190,2319,4288,0,131,33,45,25,3.36,0,0,48,58,39
4/1/2017,0,0,1750,774,1792,0,129,36,41,30,5.59,0.05,0,50,58,46
4/2/2017,0,0,3034,1792,3084,0.1,128,28,35,24,6.49,0,0,50,56,40
4/3/2017,0,0,1420,852,1445,0,127,31,42,19,4.25,0,0,46,57,35
4/4/2017,0,0,814,443,833,0,127,38,44,33,8.72,0.01,0,51,60,44
4/5/2017,0,0,606,271,622,0,125,41,46,36,8.72,0,0,53,63,47
4/6/2017,0,0,270,118,288,0.4,122,38,45,34,5.82,0.59,0,51,62,48
4/7/2017,0,0,485,285,515,0.6,126,32,38,26,17.22,0.1,0,54,57,45
4/8/2017,0,0,2803,1700,2867,0.6,131,26,30,24,8.72,0.04,0,47,53,39
